key,0,1,2,3,4
#,Name,NameShort,NameFemale,Description,NameEnglish
offset,0,4,8,12,16
Int32,String,String,String,String,String
0,輔助自由人,輔助自由人,,"源自某位冒險者的起點與終點的記憶。
能夠習得利於探索的輔助技能。",Phantom Freelancer
1,輔助騎士,輔助騎士,,"源自某位騎士的忠心與名譽的記憶。
能夠習得減輕夥伴受傷程度的輔助技能。",Phantom Knight
2,輔助狂戰士,輔助狂戰士,,"源自某位狂戰士的蠻勇與狂熱的記憶。
能夠習得高風險高收益的輔助技能。",Phantom Berserker
3,輔助武僧,輔助武僧,,"源自某位武僧的修行與冥想的記憶。
能夠習得精於攻擊的輔助技能。",Phantom Monk
4,輔助獵人,輔助獵人,,"源自某位獵人的自豪與慈愛的記憶。
能夠習得藉助動物力量的輔助技能。",Phantom Ranger
5,輔助武士,輔助武士,,"源自某位武士的道義與修練的記憶。
能夠習得一擊必殺的輔助技能。",Phantom Samurai
6,輔助吟遊詩人,輔助吟遊詩人,,"源自某位吟遊詩人的詩想與狂誦的記憶。
能夠習得多彩的歌吟輔助技能。",Phantom Bard
7,輔助風水師,輔助風水師,,"源自某位風水師的自然與理氣的記憶。
能夠習得效果隨天氣改變的輔助技能。",Phantom Geomancer
8,輔助時魔法師,輔助時魔法師,,"源自某位時魔法師的法則與定理的記憶。
能夠習得操控時間的時魔法輔助技能。",Phantom Time Mage
9,輔助砲擊士,輔助砲擊士,,"源自某位砲擊士的彈道學與戰術的記憶。
能夠習得效果多樣的砲擊輔助技能。",Phantom Cannoneer
10,輔助藥劑師,輔助藥劑師,,"源自某位藥劑師的調和與藥效的記憶。
能夠習得使用高效藥品的輔助技能。",Phantom Chemist
11,輔助預言師,輔助預言師,,"源自某位預言師的靈感與啟示的記憶。
能夠習得延遲生效的輔助技能。",Phantom Oracle
12,輔助盜賊,輔助盜賊,,"源自某位盜賊的俠義與特技的記憶。
能夠習得包含特殊的探索技術在內的輔助技能。",Phantom Thief
13,輔助魔法劍士,輔助魔法劍士,,"源自某位魔法劍士的鑽研與技術的記憶。
能夠習得賦予武器魔法的輔助技能。",Phantom Mystic Knight
14,輔助劍鬥士,輔助劍鬥士,,"源自某位劍鬥士的戰鬥與不屈的記憶。
能夠習得攻防兼備的輔助技能。",Phantom Gladiator
15,輔助舞者,輔助舞者,,"源自某位舞者的榮耀與高昂的記憶。
能夠習得效果多樣的跳舞輔助技能。",Phantom Dancer
16,輔助忍者,輔助忍者,,源自某位忍者的潛伏與隱忍的記憶。<hex:02100103>能夠習得適用於任何情況的忍術輔助技能。,
17,輔助白魔法師,輔助白魔法師,,源自某位白魔法師的獻身與治癒的記憶。<hex:02100103>能夠習得釋放治癒之力的白魔法輔助技能。,
18,輔助黑魔法師,輔助黑魔法師,,源自某位黑魔法師的研究與驗證的記憶。<hex:02100103>能夠習得釋放破壞之力的黑魔法輔助技能。,
19,輔助龍騎士,輔助龍騎士,,源自某位龍騎士的歷練與步途的記憶。<hex:02100103>能夠習得跳上雲霄貫穿敵人的輔助技能。,
20,輔助召喚師,輔助召喚師,,源自某位召喚師的研究與實踐的記憶。<hex:02100103>能夠習得召喚善於攻防的幻獸的輔助技能。,
21,輔助青魔法師,輔助青魔法師,,源自某位咒法師的見聞與偏執的記憶。<hex:02100103>能夠習得將魔物的力量轉換為魔咒的輔助技能。,
22,輔助赤魔法師,輔助赤魔法師,,源自某位赤魔法師的漂泊與機遇的記憶。<hex:02100103>能夠習得操縱黑白魔法的輔助技能。,
23,輔助亡靈法師,輔助亡靈法師,,源自某位亡靈法師的褻瀆與執念的記憶。<hex:02100103>能夠習得超越死亡的戰鬥輔助技能。,
